Philadelphia Eagles,@ATL,16,46,15,13,1,4,2,0,146,210,
Houston Texans,KC,16,46,20,16,2,4,0,0,170,208,
Buffalo Bills,IND,16,47,17,11,1,2,2,0,165,192,
Arizona Cardinals,NO,16,43,18,13,1,4,0,0,141,190,
Green Bay Packers,@CHI,16,44,18,11,0,3,1,0,126,186,
Denver Broncos,BAL,16,47,18,13,0,3,0,0,122,186,
Seattle Seahawks,@STL,16,45,18,13,1,3,0,0,165,184,
St. Louis Rams,SEA,16,46,14,16,1,2,1,0,157,184,
New England Patriots,PIT,16,48,15,11,1,2,1,0,128,180,
Baltimore Ravens,@DEN,16,48,15,16,0,2,0,0,137,178,
Cincinnati Bengals,@OAK,16,40,21,14,1,1,1,0,144,172,
Miami Dolphins,@WAS,16,42,15,11,1,3,0,0,140,168,
Detroit Lions,@SD,16,47,16,10,1,2,0,0,116,168,
Indianapolis Colts,@BUF,16,47,17,10,0,2,0,0,114,168,
Kansas City Chiefs,@HOU,16,45,15,12,1,0,2,0,127,166,
San Francisco 49ers,MIN,16,40,17,9,1,3,0,0,123,164,
Minnesota Vikings,@SF,16,43,15,7,1,3,0,0,121,162,
Cleveland Browns,@NYJ,16,35,19,9,0,3,0,0,113,156,
Carolina Panthers,@JAC,16,41,13,8,1,3,0,0,107,156,
Chicago Bears,GB,16,42,13,12,0,2,0,0,92,154,
Dallas Cowboys,NYG,16,30,18,13,0,3,0,0,117,152,
Tampa Bay Buccaneers,TEN,16,37,17,11,1,2,0,0,96,152,
Jacksonville Jaguars,CAR,16,41,13,12,1,1,0,0,93,144,
New York Giants,@DAL,16,36,15,8,1,2,0,0,100,140,
Atlanta Falcons,PHI,16,23,14,12,1,2,2,0,90,140,
San Diego Chargers,DET,16,35,11,14,0,1,0,0,89,130,
New York Jets,CLE,16,34,11,11,1,0,1,0,92,124,
Pittsburgh Steelers,@NE,16,33,8,10,0,2,0,0,79,122,
Oakland Raiders,CIN,16,33,16,9,0,0,0,0,68,116,
Tennessee Titans,@TB,16,30,10,9,0,1,0,0,59,108,
New Orleans Saints,@ARI,16,30,10,10,1,0,0,0,51,102,
Washington Redskins,MIA,16,29,9,8,0,0,0,0,51,92,
