Stephen Gostkowski ,PIT,16,50,1,7,11,10,3,152,152
Cody Parkey ,@ATL,16,47,1,9,13,6,3,149,149
Adam Vinatieri ,@BUF,16,54,0,11,9,7,2,145,145
Mason Crosby ,@CHI,16,51,1,9,10,6,3,144,144
Steven Hauschka ,@STL,16,46,0,8,9,10,3,142,142
Dan Bailey ,NYG,16,48,0,8,8,8,4,140,140
Matt Bryant ,PHI,16,43,1,9,7,7,5,140,140
Justin Tucker ,@DEN,16,44,0,7,9,9,4,139,139
Connor Barth ,BAL,16,52,1,7,9,8,2,137,137
Blair Walsh ,@SF,16,41,0,6,10,9,4,136,136
Nick Novak ,DET,16,40,1,10,9,5,3,130,130
Matt Prater ,@SD,16,42,0,9,8,9,2,130,130
Dan Carpenter ,IND,16,41,0,7,10,7,3,128,128
Chandler Catanzaro ,NO,16,33,1,9,10,8,2,127,127
Caleb Sturgis ,@WAS,16,39,0,10,8,7,2,124,124
Randy Bullock ,KC,16,39,0,7,9,7,3,123,123
Josh Brown ,@DAL,16,44,1,8,7,5,3,122,122
Graham Gano ,@JAC,16,37,0,7,9,10,1,120,120
Phil Dawson ,MIN,16,36,0,7,8,6,4,119,119
Nick Folk ,CLE,16,32,0,10,8,8,1,115,115
Garrett Hartley ,@NE,16,34,0,9,9,9,0,115,115
Cairo Santos ,@HOU,16,38,0,9,7,8,1,115,115
Greg Zuerlein ,SEA,16,35,0,7,6,7,4,115,115
Robbie Gould ,GB,16,36,0,7,8,7,2,112,112
Mike Nugent ,@OAK,16,37,0,8,7,10,0,112,112
Sebastian Janikowski ,CIN,16,31,1,4,9,7,3,109,109
Patrick Murray ,TEN,16,32,0,7,7,6,3,107,107
Josh Scobee ,CAR,16,30,0,8,8,8,1,107,107
Kai Forbath ,MIA,16,34,0,8,8,8,0,106,106
Ryan Succop ,@TB,16,30,0,9,7,6,1,101,101
